Number,Short description,Assignment group,Close notes,Tags,Classification
INC3860455,SAS Permission issue in BI LAYER Production  after the GPFS Downtime on 24-Nov-2019,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue Description: SAS Permission issue in BI LAYER Production
Incident Type: SAS permission issue
Resolution Description:There was a permission issue on E1 - Prod Bilayer during change CHG0121844. After changing the permission issue it got resolved.
 We will raise the problem ticket for RCA
",AZ Technology, SAS Server Issue
INC3800702,SAS EG error | workspace server failure ,AZTEC.GAP.PAAS-SAS-CL-2ND,"IT: Access Issue.
D: SAS EG error | workspace server failure 
R: issue resolved by user.  Below are the comments from user.

Hi Team,

I am able to access EG in all environments now. Issue seemed to be fixed.

You may close this JIRA. Thanks for support!

Regards,

Abhishek Padhye",AZ Reinsurance, SAS Platform Access/Availability
INC4789792,Extend Technical Users,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue Description:Extend Technical Users
Type: SAS others
Resolution : Closing as we received information",AZ Technology, SAS Access Issue
INC3308102,Request for information regarding jobs,AZTEC.GAP.PAAS-SAS-CL-2ND,REQ0807777,AZ Technology, SAS Service Requests
INC4216556, Datenrestore SAS BI (PaaS) Deutschland,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description :  Data restore
Type : Service req
Resolution : Completed successfuly",AZ Germany, SAS Service Requests
INC3441209,Warning - CPU utilization on server kfrar023 is 99.1%. 3611705 99.1 Aug16 /opt/sas/sas94/SASFoundation/9.4/sasexe/sas,AZTEC.GAP.PAAS-SAS-CL-2ND,We have killed the top running process and now looks good.,AZ Technology, SAS CPU
INC3341571, CPU utilization on server kfrar021 is 98.5%.,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,

Issue is no more exists, So we're closing this ticket.
Thank you.
Regards
D Srinivasulu",AZ Germany, SAS CPU
INC3244300,unable to save anything on the platform or to run  batches,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved,AZ Technology, SAS Filesystem/Quota
INC3734144,users have been removed from the group belomclosing - Urgent,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type ; Access issue
Resolution : advised user to request for the groups through giam",AZ Benelux, SAS Access Issue
INC4071670,"KFRAR003 TSM Backup Status Jan 16, 2020 1:30:00 PM  - Failed",AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident description : TSM backup failed
Incident type : Backup
Resolution : The reason for failed status in the report was given by backup team",AZ Germany, SAS Backup
INC2756752,Increase quota as per attached SR,AZTEC.GAP.PAAS-SAS-CL-2ND,Quota increased as per attached SR,AZ Germany, SAS Filesystem/Quota
INC4148114,quota change,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : quot achange
type: service request
resolution : completed request",AZ Germany, SAS Filesystem/Quota
INC4156870,EDS is not mounted on sla08913,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : EDS is not mounted on sla08913
type : server issue
Resolution : server correctly mounted",AZ Technology, SAS Server Issue
INC2831550,Service Request - Information about Jobs and corresponding scripts,AZTEC.GAP.PAAS-SAS-CL-2ND,Received required information,AZ Technology, SAS Service Requests
INC4701224,Unable to login to SAS Servers,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desc:Unable to login to SAS Servers
Type: others
Res:Issue has been resolved. We are able to request now",AZ Technology, SAS Access Issue
INC3127945,pa009999 not able to login to server SLA06412,AZTEC.GAP.PAAS-SAS-CL-2ND,Issue has been resolved,AZ Technology, SAS Linux Server
INC4203040,Datenrestore SAS BI (PaaS) Deutschland ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Data restore
Type : service req
resolution : restore completed",AZ Germany, SAS Service Requests
INC3231803,Create unix identity for the user,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved,AZ Germany, SAS Service Requests
INC3683346,Unable to assign the ticket INC3668859,AZTEC.GAP.PAAS-SAS-CL-2ND,We are able to assign the ticket now,AZ Technology, SAS Others
INC2808683,Overall storage capacity in E1 / E2 per stage,AZTEC.GAP.PAAS-SAS-CL-2ND,Provided the storage info to Jonas.,AZ Technology, SAS Service Requests
INC3290681,Change for GPFS Version update (RHEL 6 to 7) for DEV E2,AZTEC.GAP.PAAS-SAS-CL-2ND,Provided the E2 servers list to CPI team. ,AZ Technology, SAS Service Requests
INC3516809,increase the quota for the project aktallsec based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,Quota changed as per SR,AZ Germany, SAS Filesystem/Quota
INC3286200,change the encoding of projects,AZTEC.GAP.PAAS-SAS-CL-2ND,The request has been completed,AZ Germany, sas configuration
INC4235234,can you please change the memory setting for the taxdm project on the SAS platform of Allianz Germay for the project taxdm on all stages.,AZTEC.GAP.PAAS-SAS-CL-2ND,"description : increase memsize
type : SR
resolution : request completed",AZ Germany, sas configuration
INC3185625,BIFI E1-DEV-GPFS PANIC-13/06/2019,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved PRB0052003- PTASK0019223 was raised for further analysis of the root cause,AZ Benelux, SAS GPFS
INC3952878," extending the TU(qmlp, qmli,qmld) in GIAM.",AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type : Access Issue
Resolution : The tu's has been extended until 12/2/2020",AZ Technology, SAS Others
INC4209079,Krystian Kalisz WINSCP and SAS problem with run the JOBS,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : User unable to access winscp
Type: Access issue
Resolution : internal ticket- closing after info is received",AZ Technology, SAS Access Issue
INC4117715,Backup Job Summary Report - SAS-BIFI Backup E11P,AZTEC.GAP.PAAS-SAS-CL-2ND,"Decription : Backup job continuosly running
Type : Backup
Resolution: jobs arunning fine as of now",AZ Technology, SAS Backup
INC4664720,Request for Storage report,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desc: Request for Storage report
Type: SR
Res: workihg with cdc team to make a service request",AZ Technology, SAS Service Requests
INC3406226,Change quota as per attachment,AZTEC.GAP.PAAS-SAS-CL-2ND,Quota has been changed as requested,AZ Germany, SAS Server Issue
INC3030038,Files lost and permission reset after sever reboot on sla08975,AZTEC.GAP.PAAS-SAS-CL-2ND,We received the required information,AZ Technology, SAS Platform Access/Availability
INC3774678,Query on Scheduled Jobs,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type : Service Request
Resolution : We received the required information",AZ Technology, SAS -   UC4  Job Issues
INC3400930,B56 - CMDB Update for proper SLA Reporting ,AZTEC.GAP.PAAS-SAS-CL-2ND,"We have updated the CMDB as requested for AZD. A small update is pending from the Service now team. 
Attached spreadsheet gives you the latest info for AZD CMDB monitoring relationships.",AZ Technology, SAS Service Requests
INC4558517,Stale file handle issue on sla27836,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: Stale file handle issue on sla27836
Type: sas server issue
Resolution : filesystems are ok now",AZ Technology, SAS GPFS
INC4778051,Restore request,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desc:Restore request
Type: Restore request
Res: Request completed",AZ Germany, SAS Service Requests
INC4084465,Datenrestore SAS BI (PaaS) Deutschland,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Data restore
Type : service request
Resolution : Restored as per user request. Second request by user was unsuccessful",AZ Germany, SAS Service Requests
INC3081521,The job BFIE1BIA is not running on sla06496.,AZTEC.GAP.PAAS-SAS-CL-2ND,"Thanks , We'll monitor further.",AZ Technology, SAS Service Requests
INC3424237,Please add 1300 GB to the quota for AZD Prod Opsteu,AZTEC.GAP.PAAS-SAS-CL-2ND,"As requested, We have added additional 1300 GB space to data for the project Opsteu on AZD Prod. 

OLD: 
kfrar003:/project $ bsi lstquotas opsteu 
Area Groupname Quota-Limit Quota-Usage max Usage Time 
Work opsteug 400,000GB 70,280GB 94,504GB 13:50:50 
Area Groupname Quota-Limit Quota-Usage max Usage Time 
Data opsteug 2000,000GB 1158,546GB 1165,602GB 09:54:55 

New: 
kfrar003:/project $ bsi lstquotas opsteu 
Area Groupname Quota-Limit Quota-Usage max Usage Time 
Work opsteug 400,000GB 73,063GB 94,504GB 13:50:50 
Area Groupname Quota-Limit Quota-Usage max Usage Time 
Data opsteug 3300,000GB 1158,546GB 1165,602GB 09:54:55",AZ Germany, SAS Service Requests
INC3779843, user pa009999 unable to login to server sla06491,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type : acess issue
Resolution :fixed by IBM",AZ Technology, SAS Access Issue
INC3143489,Jobs A30_P_BIFI8913 and A30_P_BIFI6413 not working,AZTEC.GAP.PAAS-SAS-CL-2ND,We received required information,AZ Technology, SAS -   UC4  Job Issues
INC4137507,Datenrestore SAS BI (PaaS) Deutschland ,AZTEC.GAP.PAAS-SAS-CL-2ND,"description : data restore
type: service request
resolution ; request competed",AZ Germany, SAS Service Requests
INC4191063,Decommision the SAS Project PADAG on all available Stages,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Decommision the SAS Project PADAG on all available Stages
Type : Service request
Resolution ; Request completed",AZ Germany, SAS Others
INC3332521,Onboarding Guide for new SAS projects.,AZTEC.GAP.PAAS-SAS-CL-2ND,Documents are reviewed and looks good.,AZ Technology, SAS Service Requests
INC3652815,increase the quota for the project v7fkrb based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,The quota has been changed as requested,AZ Germany, SAS Service Requests
INC4099387,Backup Job Summary Report - SAS-BIFI Backup E11P - jobs unsuccessful,AZTEC.GAP.PAAS-SAS-CL-2ND,"Decription : Backup job continuosly running
Type : Backup
Resolution: jobs arunning fine as of now",AZ Technology, SAS Backup
INC3756832,Add users in metadata,AZTEC.GAP.PAAS-SAS-CL-2ND,"IT: Access Issue
D: Add users in metadata
R: Advised user to contact Application owner to obtain required groups access for the ROSA project via STP.",AZ Germany, SAS Access Issue
INC4444378,DB2 patching test job,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: DB2 patching test job
Type: SR
Resolution: We ran the job manually and it was successful",AZ Germany, SAS Others
INC4562893,Job_A30_P_FMINTHSK and Job_A30_P_FMPRDHSK.  are not running,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description :Job_A30_P_FMINTHSK and Job_A30_P_FMPRDHSK.  are not running
Type: sas job issue
Resolution : Jobs are running fine now",AZ France, SAS -   UC4  Job Issues
INC3776203,restore as per attachment,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type : service request
Resolution : files were restored",AZ Germany, SAS Others
INC2682011,job A30_J_SBIYK04D is not running since 10th Feb,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been fixed.,AZ Germany, SAS -   UC4  Job Issues
INC2922506,increase the quota for the project LPUAFK4 based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,The quota has been changed as per attached sr,AZ Germany, SAS Filesystem/Quota
INC3157050,Quota Change bopvlg,AZTEC.GAP.PAAS-SAS-CL-2ND,The request has been completed as per attached sr,AZ Germany, SAS Filesystem/Quota
INC2820402,Admin UC4 jobs on sla06984,AZTEC.GAP.PAAS-SAS-CL-2ND,Jobs ran successfully on 22,AZ France, SAS -   UC4  Job Issues
INC4034643,Backup Job Summary Report - SAS-BIFI Backup E11P  - Backup running from 01/07/2020 ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Backup Job Summary Report - SAS-BIFI Backup E11P  - Backup running from 01/07/2020 
Incident type : Backup issue
Resolution : Backup team has ensured that backup os successful",AZ Technology, SAS Others
INC4202737,MSCH_SAS_BI_PROD - job running from 14th,AZTEC.GAP.PAAS-SAS-CL-2ND,"dESCRIPTION : 
Type : backup
Resolution : Received info",AZ Germany, SAS Backup
INC2649448,User sync is not running on KFRAR006 meta,AZTEC.GAP.PAAS-SAS-CL-2ND,The job will run as scheduled,AZ Germany, SAS -   UC4  Job Issues
INC4266464,Tthe eds file system is missing on sla06470,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Tthe eds file system is missing on sla06470
Type: unix server issue
Resolution ; Fixed during patching",AZ Technology, sas configuration
INC3378200,requirements for access managers,AZTEC.GAP.PAAS-SAS-CL-2ND,"The issue has been resolved and as per user opinion, we are closing the ticket",AZ Technology, SAS Access Issue
INC3865786,RE: Profilo SAS EG AVC Italia,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident type : access issue
Resolution : adviced user to request for the access",AZ Benelux, SAS Access Issue
INC3738486,SBIYK04D job not running on kfrar006.srv.allianz,AZTEC.GAP.PAAS-SAS-CL-2ND,The job will run as scheduled,AZ Germany, SAS -   UC4  Job Issues
INC3859949,please increase the quota for the project quali based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident type : service request
resolution : request completed",AZ Germany, SAS Filesystem/Quota
INC3165942,Service request - list of Uc4 jobs,AZTEC.GAP.PAAS-SAS-CL-2ND,REQ0731137  has been raised for this,AZ Technology, SAS Service Requests
INC4329468,eds not mounted on sla27837,IBM-SCCD.MR.UNIX,Closed by admin as requested in: INC4368562,AZ Technology, SAS Server Issue
INC4116523,Please clear the error and make the Jobs  ready for next scheduled run,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : uc4 job not running
type: Uc4 job issue
resolution: jobs have been corrected",AZ Technology, SAS -   UC4  Job Issues
INC4265152,Please add the following email addresses to mmcheckquota distribution list,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Please add the following email addresses to mmcheckquota distribution list
Type: Service request
Resolution : Request has been completed",AZ Technology, SAS Service Requests
INC4278359,SR : Remove from mai distribution list,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : remove user from receptant list
Type: SR
Resolution : We have not yet found the correct procedure for doing this request. We will work with our CPI on this.",AZ Technology, SAS Service Requests
INC2963221,SBIYK04D  not running-kfrar006.srv.allianz,AZTEC.GAP.PAAS-SAS-CL-2ND,Job ran fine today morning,AZ Germany, SAS Server Issue
INC4094060,Backup Job Summary Report - SAS-BIFI Backup E11P - 3 jobs unsuccessful,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Backup Job Summary Report - SAS-BIFI Backup E11P - 3 jobs unsuccessful
Type : Backup
Resolution : Received info",AZ Technology, SAS Backup
INC4330488,Issue with backup report E2,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description :Issue with backup report E2
Type: backup
Resolution : We received the report today",AZ Technology, SAS Backup
INC4191003,Two jobs are running from 11th  February E1,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Two jobs are running from 11th  February E1
Type : backup
resolution : as per backup team, backup jobs are running fine",AZ Technology, SAS Backup
INC3359523,increase the quota for the project LFSPPSU1 based on the attached SR,AZTEC.GAP.PAAS-SAS-CL-2ND,The request has been completed,AZ Germany, SAS Service Requests
INC2837374,de-activate or delete jobs from the UC4 system.,AZTEC.GAP.PAAS-SAS-CL-2ND,Request was completed,AZ Technology, SAS Service Requests
INC3399928,Monthly report script not working correctly in BIRE DEV,AZTEC.GAP.PAAS-SAS-CL-2ND,This script is not working because there are no log files in the path /var/opt/data_local/data_saslogs/sas94/bire/meta/level_root/SASMeta/MetadataServer/Logs.,AZ Technology, SAS Others
INC3345907,DeploymentRegistry. - AZD META/APP/WABAPP,AZTEC.GAP.PAAS-SAS-CL-2ND,As requested we have pulled the DeploymentRegistry. - AZD META/APP/WABAPP on all stages and provided to Dietrich.,AZ Germany, SAS Service Requests
INC3362983,TU expires - fraudazdi/fraudazdp/fraudazdd,AZTEC.GAP.PAAS-SAS-CL-2ND,We have completed the request by submitting from the cart .,AZ Technology, SAS Access Issue
INC4538574,Quota change,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Quota change
Type: SR
Resolution : Request completed",AZ Germany, SAS Service Requests
INC4676488,Did not receive backup reports,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desc: Did no receive backup reports
Type: sas backup
Res: Received the reoprts",AZ Germany, SAS Backup
INC2904672,GPFS Panic on E1 Dev Int and Prod,AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved.,AZ Benelux,SAS GPFS
INC3166322,Integration running job list,AZTEC.GAP.PAAS-SAS-CL-2ND,Raised REQ0731134 for this,AZ Technology, SAS -   UC4  Job Issues
INC3268073,Status of   A30_P_BIFI8977 on sla08977,AZTEC.GAP.PAAS-SAS-CL-2ND,The required information was received,AZ Technology, SAS Service Requests
INC2834265,increase the quota for the project etlight based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,The quota has been increased as per attached SR,AZ Germany, SAS Service Requests
INC4769114,GPFS panic on kfrar008,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desc:GPFS panic on kfrar008
Type:SAS GPFS
Res: issue occured due to high swap memory, which is cleared now",AZ Germany, SAS GPFS
INC4369300,Tsm backup running for several days,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Backup not running
Type: backup
Resolution: Backup ran fine
",AZ Germany, SAS Backup
INC2922556,increase the quota for the project sdgdv based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,The request has been completed as per attached SR,AZ Germany, SAS Filesystem/Quota
INC4145625,Restore files,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : data restore
type : service request
resolution : request completed",AZ Germany, SAS Service Requests
INC3157086,Quota Change lvst,AZTEC.GAP.PAAS-SAS-CL-2ND,The request has been completed as per attached SR,AZ Germany, SAS Service Requests
INC3746208,Restore as per attachment,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Type : Restore request
Resolution : Request was completed",AZ Germany, SAS Others
INC3919934,Backup Job Summary Report - SAS-BIFI Backup Status - E21P,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description : Backup Job Summary Report - SAS-BIFI Backup Status - E21P
Type : backup issue
Resolution : backup is running ok",AZ Technology, SAS Backup
INC4084119,Work space error// please help// Urgent,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description:Work space error, Jobs need to be killed.
Issue type: SAS WorkSpace issue
Resolution Description: As requested we have killed the jobs with following JOBID : 46552,58385, 58404, 58397, 58411, 58427 and 58436.
The job having JOBID : 58408 was already finished.",AZ Benelux, SAS - Space Issue
INC4608904,Jobs Stuck - Backup Job Summary Report - SAS-BIFI Backup Status - E21P,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: E2 job stuck
TYPE:BACKUP
Resolution: solved by bacup team",AZ Technology, SAS Backup
INC3394830,Unable to login to server sla22247.srv.allianz via putty,AZTEC.GAP.PAAS-SAS-CL-2ND,We will check with our third level on this,AZ Technology, SAS Server Issue
INC3066617,mount /var/opt/data/data_eds correctly on sla08975,AZTEC.GAP.PAAS-SAS-CL-2ND,"After the change on 15th may CHG0105199, the file systems are mounted properly. ",AZ Technology, SAS Filesystem/Quota
INC2994376,"Reboot  kfrar003, Stale file handle error,Urgent",AZTEC.GAP.PAAS-SAS-CL-2ND,Reboot was not required,AZ Germany, SAS Grafana Alert
INC2427562,Cannot access AZD servers,AZTEC.GAP.PAAS-SAS-CL-2ND,The required access was granted,AZ Germany, SAS Linux Server
INC3961217,Extend the space on file sytem /opt/hds on cpfe1003 to 15 GB.,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident type : service request
Resolution : Duplicate of INC3919782",AZ Technology, SAS Filesystem/Quota
INC3546204,Quota Change sdgdv and v7fkrb,AZTEC.GAP.PAAS-SAS-CL-2ND,The quota limit of v7fkrb has been changed as requested. Quota limit of  Sdgdv was not changed as the quota limit requested was below the current quota,AZ Germany, SAS Filesystem/Quota
INC2599463,grant SAS Developer role to the users Laszlo Kozak (O27FQU2) and Csaba Maar (HQLEVAL) ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
As per user request, The SAS access has been granted and user's also confirmed over the email.PFA.
So we're closing this ticket.
Thank you.
Regards,
D Srinivasulu",AZ Asia Pacific, SAS Service Requests
INC4214827, Job_A30_P_ISHELL02  and  Job_A30_P_ISHELL96 are not running,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Job abended
Type: sas job issue
Resolution: jobs deactivated",AZ France, SAS -   UC4  Job Issues
INC3128910,AP SPIRIT 2021 - FX rates,AZTEC.GAP.PAAS-SAS-CL-2ND,Resolved,AZ Technology, SAS Others
INC4078431,"Enable xcmd and latin1 character set for sdsachqs  project on  AZD (DEV, INT, PROD)",AZTEC.GAP.PAAS-SAS-CL-2ND,"Desscription : Enable xcmd and latin1 character set for sdsachqs  project on  AZD (DEV, INT, PROD)
Type : service request
Resolution : Completed the request",AZ Germany, sas configuration
INC4376731,Quota change,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Quota change
Type: file system/quota
resolution: quota changed",AZ Germany, SAS Filesystem/Quota
INC2489247,Please clear the space on kfrar010,AZTEC.GAP.PAAS-SAS-CL-2ND,The space was freed,AZ Germany, SAS Filesystem/Quota
INC4160821,Backup Job Summary Report - SAS-BIFI Backup E11P - Backups running from 4th February,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : Backup Job Summary Report - SAS-BIFI Backup E11P - Backups running from 4th February
Type : backup
Resolution : Received info that backup is running fine",AZ Technology, SAS Backup
INC3749599,X Server (/usr/bin/X) is not starting any more on sla03200 ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : X Server (/usr/bin/X) is not starting any more on sla03200 
Incident Type : others
resolution : Fixed by IBM",AZ Technology, SAS Platform Access/Availability
INC4088011,Backup Job Summary Report - SAS-BIFI Backup Status - E21P - Jobs were killed,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description  : Backup Job Summary Report - SAS-BIFI Backup Status - E21P - Jobs were killed
Type : backup
Resolution : information was provided",AZ Technology, SAS Backup
INC2512049,Frequently disappearing UNIX rights,AZTEC.GAP.PAAS-SAS-CL-2ND,Access was granted by legba,AZ Germany, SAS Access Issue
INC4202265,unix group name slarepg  used in allianzde and wwg00m ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Desription: unix group name slarepg  used in allianzde and wwg00m 
Type : Service req
resolution : Completed successfuly",AZ Technology, SAS Service Requests
INC3312773,Changing the supervisor of TU ids,AZTEC.GAP.PAAS-SAS-CL-2ND,"GIAM Team updated the Supervisor names for the TU ids.
Ref: INC3312875",AZ Technology, SAS Service Requests
INC3150343,REQ0720554 - Request is not completed  - Closed Incomplete,AZTEC.GAP.PAAS-SAS-CL-2ND,The second request was successful,AZ Technology, SAS Service Requests
INC3920932,Data restore,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident type : restore request
resolution : Files has been restored",AZ Germany, SAS Service Requests
INC3669345,Disable the UC4 jobs in Development and Integration,AZTEC.GAP.PAAS-SAS-CL-2ND,We have raised a service request REQ0975449  for this. ,AZ Technology, SAS -   UC4  Job Issues
INC3719484, increase the quota for the project dqvg ased on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,"incident type : service request
Resolution : request completed",AZ Germany, SAS Service Requests
INC3092402,Unable to login to kfrar008,AZTEC.GAP.PAAS-SAS-CL-2ND,Login to kfrar008 working fine now,AZ Germany, SAS Linux Server
INC4182357,increase the quota for the project UC4stat based on the attached SR.,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description : increase quota of project
Type : service request
Resoluton :  The request has been completed




",AZ Germany, SAS Filesystem/Quota
INC3418743,Authentication failure for several users.,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue has been resolved,AZ Reinsurance,SAS Access Issue
INC4432011,Eds is not properly mounted on sla07735. ,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: INC4426349
Type: Sas server issue
Resolution: Eds properly mounted after reboot",AZ Technology, SAS Server Issue
INC4531227,(R) on SAS ENTERPRISE GUIDE 8 the RUN key is sandblasted,AZTEC.GAP.PAAS-SAS-CL-2ND,"Issue Type : SAS EG Access
Description : User was not able to connect to SAS connection profile.
Solution : We have provided required access previledges to user to connect SAS profile.",AZ Technology, SAS AVC Client Issue
INC3092028,SAS Enterprise Guide: Unable to access,CSC.WPS.AVC-CLIENT,,AZ UK, SAS Access Issue
INC2681375,user can have access to AVC Bifi,AZTEC.GAP.PAAS-SAS-CL-2ND,"The user is now able to log in to SAS. Upon user confirmation, we are closing this ticket.",AZ Germany, SAS Access Issue
INC3045752,SGRID_BIEC_SYST is down,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Team,
We're checking with 3rd level team on this,Ref: INC2926721.
We'll update you once the agents and services are up by the above ticket reference.
So please give us some time to bring up them, until then we're closing this ticket.
Thank you.
Regards
D Srinivasulu",AZ Germany, SAS Server Issue
INC3246273,Reset SAS appsence profile for the user G113876,AZTEC.GAP.PAAS-SAS-CL-2ND,"Due to change on Citrix end some issue with users personalized settings and it is resolved by Citrix team.

User confirmed that he is able to view the SAS connection profile for AMOs.",AZ Germany, SAS AVC Client Issue
INC3227603,Reopening -  INC3023234,AZTEC.GAP.PAAS-SAS-CL-2ND,User confirmed that the issue is resolved by himself (email attached).,AZ Reinsurance, SAS Access Issue
INC3216736,Error in APC DM,AZTEC.GAP.PAAS-SAS-CL-2ND,We have added the redwh Users_A role and the issue resolved.,AZ Reinsurance, SAS Access Issue
INC3023234,APCDM access issue ,AZTEC.GAP.PAAS-SAS-CL-2ND,We have provided the user required information to get the linux group access through giam. ,AZ Reinsurance, SAS Access Issue
INC2819720,RE: SAS AVC EG 7.1 - SAS EG Has Encountered a Problem,AZTEC.GAP.PAAS-SAS-CL-2ND,"a hotfix package has been prepared for SAS EG & AMO 7.15 and plan to be roll out by next week. 
we are closing this ticket and opening problem ticket (PRB0050823).",AZ UK, SAS AVC Client Issue
INC3959082,Access to SAS EG SI not working. Please see the attached error details,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident type : SAS access
Resolution : provided guidance on requesting access",AZ Reinsurance, SAS Access Issue
INC3901559,Unable to access redwh Server,AZTEC.GAP.PAAS-SAS-CL-2ND,"Incident Description: Unable to access redwh Server
Incident Type: SAS Platform Access/Availability. 
Resolution Description: User has confirmed over jabber that user can connect to SAS Enterprise Guide for redwh server. ",AZ Reinsurance, SAS Platform Access/Availability
INC4730022,unable to  access tdbpce in SI,AZTEC.GAP.PAAS-SAS-CL-2ND,"Description: unable to  access tdbpce in SI
Issue Type: SAS Server Issue
Resolution : After restrating object spwaner user can connect to tdbpce in SI hence closing the ticket. User has confirmed over jabber.",AZ Reinsurance, SAS Platform Access/Availability
INC3098829,BIRE 9.4 SI not available,AZTEC.GAP.PAAS-SAS-CL-2ND,"Dear Alina,
As per call discussion that you've confirmed the SAS access is working fine.
So we're closing this ticket.
Thank you.
Regards,
D Srinivauslu
",AZ Reinsurance, SAS Access Issue
INC3445564,SAS EG 7.1 user access,AZTEC.GAP.PAAS-SAS-CL-2ND,The issue occurred due to a mistype from the user. Now the issue is resolved,AZ Reinsurance, SAS Access Issue
INC2608107,execution of ETLs on DI-STudio on DEV not possible,AZTEC.GAP.PAAS-SAS-CL-2ND,"User solved the issue by himself. Asked us to close the ticket.
",AZ Germany, SAS Platform Access/Availability
INC2833246,Please enter the tnsnames.ora-entry in the work notes into the tnsnames.ora of SAS-BIFI of the project redwh in both DEV and SI,AZTEC.GAP.PAAS-SAS-CL-2ND,The entries were made as per user request and we are closing the ticket as per user confirmation,AZ Germany, SAS Database
INC4686525,Please enter in the tnsnames.ora for the SAS-project redwh on INT the following entry that I entered in the comment field,AZTEC.GAP.PAAS-SAS-CL-2ND,"Des:Please enter in the tnsnames.ora for the SAS-project redwh on INT the following entry that I entered in the comment field
Tyep: SR
Res: request completed",AZ Reinsurance, SAS Database
INC3934273,Restore data in Production,AZTEC.GAP.PAAS-SAS-CL-2ND,"IT: Restore Data.
D: Restore Data.
R: No action taken. User find alternative solutions.",AZ UK, SAS Service Requests
INC2636762,Need backup ( old ) file in the following dev location.,AZTEC.GAP.PAAS-SAS-CL-2ND,The request has been completed,AZ UK, SAS Service Requests
INC3703113,Kil process id 2460116 ,AZTEC.GAP.PAAS-SAS-CL-2ND,"As requested we have killed the process. Looks good now user confirmed to close.
",AZ France, SAS Service Requests
